study_id,title,description,minAge,maxAge,minGPA,cooldownDays,active,created_at,updated_at
17d8499c-65a9-4fb6-919a-daa54c8bf610,Nutrition & Performance via Online Survey,This attention & perception study uses a EEG session with graduate students. It aims to test usability of a new mobile interface. Approx. 20 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,21,45,2.0,7,True,2027-01-01T14:26:33,2027-01-08T10:52:36
5f2adce1-6c13-4d66-8826-f1bc0a73c16a,Learning & Education via Reaction-Time Task,This affect & emotion study uses a interview session with habitual nappers. It aims to evaluate UI learnability. Approx. 75 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,21,60,2.0,7,False,2026-06-09T10:34:37,2026-07-05T13:57:13
905b312c-0794-42ca-9f1a-362b9e6d39de,Model social conformity behavior (Usability Testing),This language processing study uses a online survey with early risers. It aims to quantify decision speed under time pressure. Approx. 45 minutes. Compensation: $25 gift card. Participation is voluntary; you may withdraw at any time.,18,60,3.0,30,False,2026-06-28T21:21:55,2026-11-23T04:21:58
119d8e75-b729-4aca-b757-c2ecfe35e752,Assess the impact of sleep duration on recall (Sleep & Memory),This sleep & memory study uses a eye-tracking study with graduate students. It aims to study effects of nutrition on reaction time. Approx. 45 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,55,2.3,7,True,2027-03-05T22:15:07,2027-08-18T00:51:05
6280ced5-8db5-484e-ac6b-795e587dfa13,Social Behavior via Reaction-Time Task,This affect & emotion study uses a A/B usability test with habitual nappers. It aims to test usability of a new mobile interface. Approx. 30 minutes. Compensation: snacks + course credit. Participation is voluntary; you may withdraw at any time.,18,45,2.0,0,False,2026-07-29T14:15:13,2026-10-05T16:39:48
481120c3-ec28-4f58-bca3-80d967417fd9,Learning & Education via Interview Session,This motivation & goals study uses a A/B usability test with STEM majors. It aims to evaluate UI learnability. Approx. 35 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,55,2.7,30,True,2026-12-19T01:28:21,2027-04-07T22:43:05
0fc4adf7-75ab-4161-874d-10d96e721694,Usability Testing via Mobile App Diary,This motivation & goals study uses a lab-based task with undergraduates. It aims to evaluate UI learnability. Approx. 75 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,65,2.5,21,True,2026-09-19T13:04:56,2027-02-01T22:14:09
7e5fdd8f-efe7-4f1c-9056-70528ca20fd9,Test usability of a new mobile interface (Cognitive Psychology),This neuroscience study uses a lab-based task with habitual nappers. It aims to evaluate UI learnability. Approx. 45 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,60,3.2,7,True,2025-12-12T15:38:29,2026-05-22T02:30:26
99b6dd85-956c-4535-9dd5-e00c64f4857b,Learning & Education via Eeg Session,This cognitive psychology study uses a interview session with competitive athletes. It aims to measure short-term memory accuracy. Approx. 20 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,18,60,2.0,7,False,2025-11-21T04:08:16,2025-12-12T21:49:55
a85a0a05-a375-4c4c-ae52-893e8bc1f7dc,Sleep & Memory via Reaction-Time Task,This motivation & goals study uses a reaction-time task with general adults. It aims to test usability of a new mobile interface. Approx. 90 minutes. Compensation: $20 gift card. Participation is voluntary; you may withdraw at any time.,21,55,3.2,7,False,2026-07-27T21:45:19,2027-01-15T21:24:59
a5448b1d-90e6-49c1-a5b3-24b0998e427e,Mental Health – Test usability of a new mobile interface,This nutrition & performance study uses a eye-tracking study with bilingual speakers. It aims to model social conformity behavior. Approx. 20 minutes. Compensation: $10 gift card. Participation is voluntary; you may withdraw at any time.,18,55,2.0,0,True,2025-10-15T09:34:47,2026-01-07T12:09:34
27402a2b-00f2-4760-95b7-facf85e82036,Attention & Perception via Vr Interaction Task,This exercise science study uses a interview session with first-year students. It aims to assess the impact of sleep duration on recall. Approx. 90 minutes. Compensation: course credit. Participation is voluntary; you may withdraw at any time.,21,65,2.0,0,True,2026-06-23T04:35:07,2026-10-09T19:33:10
