study_id,researcher_id,role
17d8499c-65a9-4fb6-919a-daa54c8bf610,5c8538af-a75e-4093-bece-abef098eb7af,PI
17d8499c-65a9-4fb6-919a-daa54c8bf610,1e4d23f8-42fd-44dc-a06e-92c7b59bf7bd,RA
17d8499c-65a9-4fb6-919a-daa54c8bf610,ca677086-28b6-4381-8709-91dfe9e9f8ef,RA
17d8499c-65a9-4fb6-919a-daa54c8bf610,8a3fcfa6-eef9-4dd1-b6a7-f3d0cb4a6421,RA
5f2adce1-6c13-4d66-8826-f1bc0a73c16a,2b407bbc-bfe4-4281-b3e9-aceb821599ac,PI
5f2adce1-6c13-4d66-8826-f1bc0a73c16a,1b979e4a-e908-432a-bedd-a9a9c1f8895d,RA
5f2adce1-6c13-4d66-8826-f1bc0a73c16a,3417c116-5ae4-4549-82ad-9bf962138489,RA
905b312c-0794-42ca-9f1a-362b9e6d39de,cc5ca2ca-4978-4407-a9fa-21941ed0efe7,PI
905b312c-0794-42ca-9f1a-362b9e6d39de,d8f6a256-2639-4cca-ad65-856a3e51ea66,RA
119d8e75-b729-4aca-b757-c2ecfe35e752,db478413-f74a-4916-abfc-70cba46b5fbc,PI
119d8e75-b729-4aca-b757-c2ecfe35e752,abb3fb4b-e94d-4a42-b0b5-c192a40668ae,RA
119d8e75-b729-4aca-b757-c2ecfe35e752,82acfd50-ef14-40b7-9126-84a4aa32eb27,RA
119d8e75-b729-4aca-b757-c2ecfe35e752,416ebbb4-1653-4032-b40d-5a8927038daa,RA
6280ced5-8db5-484e-ac6b-795e587dfa13,d3d9acef-fdd9-48b7-80da-a8a4408415ae,PI
6280ced5-8db5-484e-ac6b-795e587dfa13,2fa7ee93-c501-41fe-932c-b318a9afa16f,RA
481120c3-ec28-4f58-bca3-80d967417fd9,7eb24031-a7df-4514-a59a-4f0b10283b63,PI
481120c3-ec28-4f58-bca3-80d967417fd9,2f85e44f-9702-4e60-8f94-ed9888a8297c,coordinator
481120c3-ec28-4f58-bca3-80d967417fd9,809482a3-da2c-4ae0-a3d8-6838724efc7f,RA
481120c3-ec28-4f58-bca3-80d967417fd9,93986bb6-7984-44f8-b562-d94b09c32c3d,RA
0fc4adf7-75ab-4161-874d-10d96e721694,fa38a236-3bdb-4f89-b122-de593530a720,PI
0fc4adf7-75ab-4161-874d-10d96e721694,e5e60072-05c2-4e8c-a7ea-a7689dc1d295,RA
0fc4adf7-75ab-4161-874d-10d96e721694,99f43062-e97f-4697-8133-8762a54a9e8b,RA
7e5fdd8f-efe7-4f1c-9056-70528ca20fd9,da532f5d-f137-447f-83bf-aa4eb5c63214,PI
7e5fdd8f-efe7-4f1c-9056-70528ca20fd9,95f8af8f-75a0-410c-854d-2db476c623ce,RA
7e5fdd8f-efe7-4f1c-9056-70528ca20fd9,bd883788-fa6f-4164-86dc-3a22902b56b5,RA
99b6dd85-956c-4535-9dd5-e00c64f4857b,607c2594-e9b4-4758-8f57-ff54c5120327,PI
99b6dd85-956c-4535-9dd5-e00c64f4857b,2b407bbc-bfe4-4281-b3e9-aceb821599ac,RA
a85a0a05-a375-4c4c-ae52-893e8bc1f7dc,b7886f9f-b023-4eba-9f43-e8a6b3231014,PI
a85a0a05-a375-4c4c-ae52-893e8bc1f7dc,2efb00b8-3412-4624-800e-4bce16cdcd43,coordinator
a85a0a05-a375-4c4c-ae52-893e8bc1f7dc,6d2e1179-edfb-42b5-87ce-d31316b1278a,RA
a85a0a05-a375-4c4c-ae52-893e8bc1f7dc,e2aa0283-db05-4c71-8c6a-4e53aa083621,RA
a5448b1d-90e6-49c1-a5b3-24b0998e427e,40962a6a-9d52-40da-90a2-b61886ffee3b,PI
a5448b1d-90e6-49c1-a5b3-24b0998e427e,6b691dac-452e-4236-8283-3bafe78b1a95,coordinator
a5448b1d-90e6-49c1-a5b3-24b0998e427e,342f86fe-6296-4d9d-9b2d-c34446d6da1e,RA
27402a2b-00f2-4760-95b7-facf85e82036,d10b975e-b653-496a-a804-7eb138f8b2ea,PI
27402a2b-00f2-4760-95b7-facf85e82036,46031f64-1c7b-42dd-a493-e6481b0db465,RA
27402a2b-00f2-4760-95b7-facf85e82036,fc476845-51d6-4be5-bae1-297abaa2f853,RA
d6cb1317-dae2-486b-ba88-0a6d8c6170c1,97f6a81d-cbc9-4036-8f67-fd5d63b6bccb,PI
d6cb1317-dae2-486b-ba88-0a6d8c6170c1,1ceb8733-90e1-4b6e-8805-5068e3f5ad51,coordinator
d6cb1317-dae2-486b-ba88-0a6d8c6170c1,fbcc89da-23d6-4093-b8b8-9498a947c59d,RA
d6cb1317-dae2-486b-ba88-0a6d8c6170c1,44defaff-11cd-4928-9d2f-a9c43f035690,RA
18e2c651-9e38-422e-b258-7eb6faf92bde,95832d66-4445-4007-9210-381c6a50b1dc,PI
18e2c651-9e38-422e-b258-7eb6faf92bde,49374ab8-e60b-431b-bb7b-def85aa0f5d4,coordinator
18e2c651-9e38-422e-b258-7eb6faf92bde,1d6cde26-0240-430c-a132-e9e7aef7f246,RA
18e2c651-9e38-422e-b258-7eb6faf92bde,f532f77e-07ba-418c-a64d-d9f2fa9f74b2,RA
88056938-c607-45d3-a7e6-611cea80cb6a,36fadb35-3276-490f-b365-1aab95554720,PI
88056938-c607-45d3-a7e6-611cea80cb6a,5a0271c5-eb05-467d-97a9-38adb827d39d,RA
88056938-c607-45d3-a7e6-611cea80cb6a,533e9d4e-d744-4d8a-b65d-927c2f1b3410,RA
72bafa3a-177a-4608-ad1c-0d47897587a1,7dea7423-a1e8-445d-a61f-8906141da1b2,PI
72bafa3a-177a-4608-ad1c-0d47897587a1,29bf7211-d374-440a-ba24-c2cb35ce1d9f,RA
72bafa3a-177a-4608-ad1c-0d47897587a1,7ebc163c-b298-4929-a8e5-4bebe4a2951d,RA
72bafa3a-177a-4608-ad1c-0d47897587a1,e8595611-29c4-421f-bc0b-d2a01a0f1eeb,RA
f0ad0fec-7cf8-4b72-8990-0afa0d0b03e8,98e442c3-b176-4b74-b0e8-b30a26e35f8e,PI
f0ad0fec-7cf8-4b72-8990-0afa0d0b03e8,49ae62a0-eac5-4cc2-80cb-5e4ea0d76e01,coordinator
f0ad0fec-7cf8-4b72-8990-0afa0d0b03e8,b5f38e41-b068-470f-8b87-15eff4036eff,RA
f0ad0fec-7cf8-4b72-8990-0afa0d0b03e8,1ca397ce-a084-4d02-a49d-943888e57208,RA
992cc395-ad49-4a3c-befc-d0691c33f79c,4014bb49-c17d-4290-bfb2-5e879fb23c9f,PI
992cc395-ad49-4a3c-befc-d0691c33f79c,6405f515-ad46-4c85-b529-9bc26b0cee28,RA
f17f4f68-51e2-4af9-ac0e-223d5c35dcf6,cacac866-23d1-4b9b-9c12-2ce5b7d2c032,PI
f17f4f68-51e2-4af9-ac0e-223d5c35dcf6,e761e237-6e14-4f39-9825-badbdbd0d75d,RA
f17f4f68-51e2-4af9-ac0e-223d5c35dcf6,e7411687-a73a-4e64-9404-5729bdfcb9b5,RA
f17f4f68-51e2-4af9-ac0e-223d5c35dcf6,9b309a57-7173-4dfb-852d-9d1ade4a703d,RA
a94a02b2-c1c2-4446-af6c-a9e83fdc776e,4d4d45d5-fd07-47aa-9f15-469213e4a358,PI
a94a02b2-c1c2-4446-af6c-a9e83fdc776e,1f68667d-f541-4149-b516-298624186399,coordinator
a94a02b2-c1c2-4446-af6c-a9e83fdc776e,c39937f7-952c-4265-bf9b-6367f02d3414,RA
1d778d35-f662-4ad7-9625-a391c3e9a645,a50a0377-88ef-48e8-98ac-01d8375971c9,PI
1d778d35-f662-4ad7-9625-a391c3e9a645,f532f77e-07ba-418c-a64d-d9f2fa9f74b2,RA
